Region,"Hotels Gurgaon: (8/27/24, 8:03 AM - 9/3/24, 8:03 AM)"
Daman and Diu,100
Haryana,50
Delhi,18
Chandigarh,8
Uttarakhand,5
Punjab,4
Uttar Pradesh,4
Rajasthan,3
Chhattisgarh,2
Karnataka,2
Jammu and Kashmir,1
Maharashtra,1
Madhya Pradesh,1
West Bengal,1
Gujarat,1
Telangana,<1
Odisha,<1
Tamil Nadu,<1
Bihar,<1
Lakshadweep,
Meghalaya,
Manipur,
Kerala,
Mizoram,
Nagaland,
Jharkhand,
Himachal Pradesh,
Puducherry,
Goa,
Sikkim,
Dadra and Nagar Haveli,
Assam,
Tripura,
Arunachal Pradesh,
Andhra Pradesh,
Andaman and Nicobar Islands,
